messy_vendor,matched_vendor,score,method,counterparty,location
"RAM WASTE SYSTEMS, INC","Waste Connections - RAM Waste Systems, Inc",70.0,constrained,5004040-01-01 - BISON RIDGE SEVERANCE WINDSOR,5004040-01-01 - BISON RIDGE SEVERANCE WINDSOR
VISTA RECYCLING INC,Vista Recycling,88.23529411764706,constrained,5004208-01-01 - Central/Thatcher 5 Campus,5004208-01-01 - Central/Thatcher 5 Campus
Vista Recycling,Vista Recycling,100.0,constrained,5004208-01-01 - Central/Thatcher 5 Campus,5004208-01-01 - Central/Thatcher 5 Campus
VISTA RECYCLING\nINC,Vista Recycling,88.23529411764706,constrained,5004208-01-01 - Central/Thatcher 5 Campus,5004208-01-01 - Central/Thatcher 5 Campus
City of Meridian,City of Meridian,100.0,constrained,"5004283-01-01 - Baldwin Park,Coppercloud, Saw","5004283-01-01 - Baldwin Park,Coppercloud, Saw"
City of Meridian - Utility,City of Meridian,80.0,constrained,"5004283-01-01 - Baldwin Park,Coppercloud, Saw","5004283-01-01 - Baldwin Park,Coppercloud, Saw"
FRONTIER WASTE - CONROE,Frontier Waste,80.0,constrained,5004658-01-01 - Discovery Creek,5004658-01-01 - Discovery Creek
Waste Resources Lynwood,WASTE RESOURCES GARDENA,73.91304347826086,constrained,5004896-01-01 - 12200 Bradfield Ave,5004896-01-01 - 12200 Bradfield Ave
Community Waste Disposal,CWD - Community Waste Disposal,92.3076923076923,constrained,5005068-01-01 - Wylie,5005068-01-01 - Wylie
FRONTIER WASTE - NORTH AUSTIN,Frontier Waste - Austin,87.5,global,5005169-01-01,
Redgate Disposal LLC,Redgate Disposal LLC,100.0,global,5005325,
TEXAS DISPOSAL SYSTEMS,Texas Disposal,77.77777777777779,constrained,5005457-01-01 - Vista Ridge - CP,5005457-01-01 - Vista Ridge - CP
Wasatch County Solid Waste,Wasatch County Solid Waste Disposal,85.24590163934427,constrained,"5005503-01-01 - DANIEL 1, 2, WHEELER PARK","5005503-01-01 - DANIEL 1, 2, WHEELER PARK"
Republic Services,Republic Services #902,89.47368421052632,constrained,5005892-01-01 - Heil,5005892-01-01 - Heil
RAMONA DISPOSAL SERVICE,Edco - Ramona Disposal Service,90.19607843137256,constrained,5006436-01-01 - Wildwood Ranch Camp,5006436-01-01 - Wildwood Ranch Camp
FRONTIER WASTE - MCKINNEY,Frontier Waste,75.67567567567568,constrained,5006954-01-01 - Hardin-1,5006954-01-01 - Hardin-1
Big Bear City Community Services District,Big Bear Community Services District,93.5064935064935,constrained,5007275-01-01 - Big Bear,5007275-01-01 - Big Bear City
BIG BEAR CITY Community Services District,Big Bear Community Services District,93.5064935064935,constrained,5007275-01-01 - Big Bear City,5007275-01-01 - Big Bear City
Big Bear Community Services,Big Bear Community Services District,85.71428571428572,constrained,5007275-01-01 - Big Bear City,5007275-01-01 - Big Bear City
Big Bear Community Services District,Big Bear Community Services District,100.0,constrained,5007275-01-01 - Big Bear City,5007275-01-01 - Big Bear City
Big Bear City Community Services District,Big Bear Community Services District,93.5064935064935,constrained,5007275-01-01 - Big Bear City,5007275-01-01 - Big Bear City
VALLEY VISTA SERVICES,Valley Vista Services,100.0,constrained,5008549-01-01 - Rowland Heights,5008549-01-01 - Rowland Heights
CIRCLE Circle Sanitation Inc,"Circle Sanitation, Inc",85.71428571428572,constrained,5008673-01-01 - Stanley-1,5008673-01-01 - Stanley-1
Circle Sanitation,"Circle Sanitation, Inc",89.47368421052632,constrained,5008673-01-01 - Stanley-1,5008673-01-01 - Stanley-1
Circle Sanitation Inc,"Circle Sanitation, Inc",100.0,constrained,5008673-01-01 - Stanley-1,5008673-01-01 - Stanley-1
CIRCLE\nCircle Sanitation Inc,"Circle Sanitation, Inc",85.71428571428572,constrained,5008673-01-01 - Stanley-1,5008673-01-01 - Stanley-1
"TRASH TAXI OF GA., LLC",Trash Taxi of GA,88.88888888888889,global,5008673-01-01 - Stanley-1,5008673-01-01 - Stanley-1
"WASTE CONNECTIONS BAYOU, INC",Waste Connections - Bayou 6187,83.63636363636364,constrained,5009 - Crowley,5009 - Crowley
"WASTE MANAGEMENT OF UTAH, INC.",Waste Management - Utah,85.71428571428572,constrained,5009336-02-01 - North Logan Green Canyon Sr,5009336-02-01 - North Logan Green Canyon Sr
"AL CLAWSON DISPOSAL, INC.",AL Clawson Disposal,90.47619047619048,constrained,5009408-01-01 - Reagans Overlook,5009408-01-01 - Reagans Overlook
City of Nampa,City of Nampa,100.0,constrained,5009457-02-01 - Nampa ID Ridgevue Seminary,5009457-02-01 - Nampa ID Ridgevue Seminary
JunkAppliance.com,JunkAppliance.com,100.0,constrained,"5010207-01-01 - Crossriver, Lake Pleasant","5010207-01-01 - Crossriver, Lake Pleasant"
"WASTE CONNECTIONS LONE STAR, INC",Waste Connections - McKinney,77.19298245614034,constrained,5010828-02-01 - Prosper Teel,5010828-02-01 - Prosper Teel
Martin's Trash,Martins trash service,76.47058823529412,constrained,5011551-01-01 - ATCHISON,5011551-01-01 - ATCHISON
Martin's Trash Service,Martins trash service,100.0,constrained,5011551-01-01 - ATCHISON,5011551-01-01 - ATCHISON
Trash Service,Martins trash service,76.47058823529412,constrained,5011551-01-01 - ATCHISON,5011551-01-01 - ATCHISON
FRONTIER WASTE - HOUSTON,Frontier Waste,77.77777777777779,constrained,5011969-01-01 - Woodson's Reserve,5011969-01-01 - Woodson's Reserve
Pelican\nWaste &,Pelican Waste,92.3076923076923,constrained,5012 - Morgan City,5012 - Morgan City
Jay Mecham's COUNTRY GARBAGE,Mecham's Country Garbage,92.0,constrained,5012089-02-01 - Santaquin East Stake Pavilion,5012089-02-01 - Santaquin East Stake Pavilion
SANITATION SOLUTIONS INC.,Sanitation Solutions,90.9090909090909,global,5012192-01-01 - HUGO,5012192-01-01 - HUGO
"SANITATION SOLUTIONS, INC.",Sanitation Solutions,90.9090909090909,global,5012192-01-01 - HUGO,5012192-01-01 - HUGO
"HARDIN SANITATION, INC","HART SANITATION, INC",90.0,global,5012444-01-01 - Star Granger 300,5012444-01-01 - Star Granger 300
Alaska Waste,Alaska Waste,100.0,constrained,5012835-01-01 - TAMARACK,5012835-01-01 - TAMARACK
Robinson Waste Services,Robinson Waste Services-Utah,92.0,global,5013349-01-01,5013450-01-01
ROBINSON Waste Services,Robinson Waste Services-Utah,92.0,constrained,5013349-01-01 - FARMINGTON SR SEMINARY,5013349-01-01 - FARMINGTON SR SEMINARY
TOWN OF LIMON,Town of Limon CO,89.65517241379311,constrained,5013558-01-01 - LIMON,5013558-01-01 - LIMON
"MR & E, Inc.","MR&E, Inc",80.0,constrained,5013607-01-01  Grays Lake,5013607-01-01 - GRAYS LAKE
IDAWY SOLID WASTE DISTRICT BEAR LAKE REGION,IDAWY Solid Waste District Bear Lake Region,100.0,constrained,5014204-01-01 - Bern,5014204-01-01 - Bern
RecologySonoma Marin,RECOLOGY-SONOMA MARIN,100.0,global,5014563-01-01 - Maple Valley Wa Sr Seminary,5014563-01-01 - Maple Valley Wa Sr Seminary
ESCONDIDO DISPOSAL INC.,Escondido Disposal,90.0,constrained,5015308-01-01 - Washington Escondido,5015308-01-01 - Washington Escondido
EDCO WASTE & RECYCLING SERVICE,"EDCO WASTE & RECYCLING SERVICES, INC",91.80327868852459,constrained,5015650-01-01 - Pomerado,5015650-01-01 - Pomerado
"Standing Rock Sanitation Service, Inc.",Standing Rock Sanitation Services,92.7536231884058,constrained,5017238-01-01 - FORT YATES,5017238-01-01 - FORT YATES
CITY OF WOLF POINT,"City of Wolf Point, MT",92.3076923076923,constrained,5017637-01-01 - WOLF POINT,5017637-01-01 - WOLF POINT
"WASTE MANAGEMENT OF WASHINGTON, INC.",Waste Management - National,71.1864406779661,constrained,5017640-01-01 - Ridgeline Spokane WA Seminary,5017640-01-01 - Ridgeline Spokane WA Seminary
Tims Trash Service,Tims Trash Service,100.0,constrained,5017996-01-01 - Centerville Lease,5017996-01-01 - Centerville Lease
SONNY'S SOLID WASTE SERVICE INC,Sonny's Solid Waste,75.0,constrained,5019019-01-01 - Cape Girardeau,5019019-01-01 - Cape Girardeau
City of Dumas TE,City of Dumas,89.65517241379311,constrained,5020409-01-01 - DUMAS,5020409-01-01 - DUMAS
City of Dumas,City of Dumas,100.0,constrained,5020409-01-01 - DUMAS,5020409-01-01 - DUMAS
CITY OF DUMAS,City of Dumas,100.0,constrained,5020409-01-01 - DUMAS,5020409-01-01 - DUMAS
ROBINSON WASTE SERVICES,Robinson Waste Services-Utah,92.0,constrained,"5022096-02-01 - FOXGLEN PARK, PRAIRIE CROSSIN","5022096-02-01 - FOXGLEN PARK, PRAIRIE CROSSIN"
PRYOR WASTE & RECYCLING LLC,Pryor Wasste & Recycling LLC,98.0392156862745,constrained,5022251-00-00,5022251-00-00
Republic Services #620,Republic Services #620,100.0,global,5022593-01-01,
Anaconda Disposal,Anaconda Disposal,100.0,constrained,5022746-01-01 - ANACONDA,5022746-01-01 - ANACONDA
Anaconda Disposal Service,Anaconda Disposal,80.95238095238095,constrained,5022746-01-01 - ANACONDA,5022746-01-01 - ANACONDA
City of Bozeman,CITY OF BOZEMAN - MONTANA,78.94736842105263,constrained,5022800-01-01 - BOZEMAN MT MSU INSTITUTE,5022800-01-01 - BOZEMAN MT MSU INSTITUTE
A WASTE CONNECTIONS COMPANY,Waste Connections - San Luis Garbage Company,72.46376811594203,constrained,5023017-01-01 - Five Cities,5023017-01-01 - Five Cities
Granite Disposal,Granite Disposal,100.0,constrained,5023033-02-01 - PHILIPSBURG-1,5023033-02-01 - PHILIPSBURG-1
Paso Robles Waste&,Paso Robles Waste Disposal Inc,72.34042553191489,constrained,5023327-02-01 - Paso Robles,5023327-02-01 - Paso Robles
Marborg Industries,Marborg Industries,100.0,constrained,5023483-01-01 - Oak Knoll Campus,5023483-01-01 - Oak Knoll Campus
"E.J. HARRISON & SONS, INC",E. J. Harrison & Sons,86.48648648648648,constrained,5023645-01-01 - Las Posas,5023645-01-01 - Las Posas
"HARRISON & SONS, INC",E. J. Harrison & Sons,82.35294117647058,constrained,5023645-01-01 - Las Posas,5023645-01-01 - Las Posas
TORREZ SANITATION LLC,Torrez Sanitation LLC,100.0,constrained,5023661-01-01 - FARMINGTON-1,5023661-01-01 - FARMINGTON-1
"E. J. HARRISON & SONS, INC",E. J. Harrison & Sons,89.47368421052632,constrained,5023718-01-01 - Ojai,5023718-01-01 - Ojai
MarBorg INDUSTRIES,Marborg Industries,100.0,constrained,5023904-01-01 - Goleta Valley,5023904-01-01 - Goleta Valley
Sanitary Service,Sanitary Service Company,80.0,constrained,5024595-01-01 - James St,5024595-01-01 - James St
Sanitary Service Company,Sanitary Service Company,100.0,constrained,5024595-01-01 - James St,5024595-01-01 - James St
Sanitary services,Sanitary Service Company,78.04878048780488,constrained,5024595-01-01 - James St,5024595-01-01 - James St
CITY OF GREAT Falls,City of Great Falls Sanitation,77.55102040816327,constrained,5024641-01-01 - RIVERS EDGE TWO RIVERS &,5024641-01-01 - RIVERS EDGE TWO RIVERS &
Rubatino Refuse,Rubatino Refuse Removal,78.94736842105263,constrained,5024730-01-01 - View Ridge,5024730-01-01 - View Ridge
Rubatino REFUSE REMOVAL LLC.,Rubatino Refuse Removal,92.0,constrained,5024730-01-01 - View Ridge,5024730-01-01 - View Ridge
Commercial Sanitation,Commercial Sanitation,100.0,constrained,5025028-01-01 - OTTUMWA,5025028-01-01 - OTTUMWA
Bitter Root Disposal A Waste Connections Company,Waste Connections - Bitter Root Disposal 5411,85.71428571428572,constrained,5025273-01-01 - CORVALLIS WILLOW MOUNTAIN,5025273-01-01 - CORVALLIS WILLOW MOUNTAIN
BITTER ROOT DISPOSAL A WASTE CONNECTIONS COMPANY,Waste Connections - Bitter Root Disposal 5411,85.71428571428572,constrained,5025370-01-01 - DARBY,5025370-01-01 - DARBY
Junk King,Junk King Tacoma,72.0,constrained,5025400-01-01 - Dupont Steilacoom And Stake C,5025400-01-01 - Dupont Steilacoom And Stake C
PIERCE COUNTY REFUSE A WASTE CONNECTIONS COMPANY,Waste Connections - Pierce County Refuse,88.37209302325581,global,5025400-01-01 - Dupont Steilacoom And Stake C,5025400-01-01 - Dupont Steilacoom And Stake C
PIERCE COUNTY REFUSE\nA WASTE CONNECTIONS COMPANY,Waste Connections - Pierce County Refuse,88.37209302325581,global,5025400-01-01 - Dupont Steilacoom And Stake C,5025400-01-01 - Dupont Steilacoom And Stake C
Recology King County,RECOLOGY-KING COUNTY-WASHINGTON,73.46938775510203,constrained,5025427-01-01 - Shorecrest Lk Forest Pk Puget,5025427-01-01 - Shorecrest Lk Forest Pk Puget
Roadrunner Sanitation,Roadrunner Sanitation,100.0,constrained,5025893-01-01 - BASIN GREYBULL,5025893-01-01 - BASIN GREYBULL
City of Tulsa,City of Tulare,88.88888888888889,global,5026008-01-01 - New Haven Riverside,5026008-01-01 - NEW HAVEN RIVERSIDE TULSA YSA
"American Waste Control, Inc","American Waste Control, Inc",100.0,constrained,5026008-01-01 - NEW HAVEN RIVERSIDE TULSA YSA,5026008-01-01 - NEW HAVEN RIVERSIDE TULSA YSA
"Waste Control, Inc.","American Waste Control, Inc",79.06976744186046,constrained,5026008-01-01 - NEW HAVEN RIVERSIDE TULSA YSA,5026008-01-01 - NEW HAVEN RIVERSIDE TULSA YSA
ROADRUNNER SANITATION,Roadrunner Sanitation,100.0,constrained,5026040-01-01 - TEN SLEEP,5026040-01-01 - TEN SLEEP
JUNK KING,Junk King Tacoma,72.0,constrained,5026075-01-01 - American Lake Lakewood,5026075-01-01 - American Lake Lakewood
"CITY OF RIVERTON, WY",City of Riverton,91.42857142857143,constrained,5026644,5026644
City of Riverton,City of Riverton,100.0,global,5026644-01-01 - Riverton Stk Ctr (Asen),
"ECONO WASTE, INC",Econo Waste Inc,100.0,constrained,5026679-01-01 - CAMP ATOKA,5026679-01-01 - CAMP ATOKA
1-800 Got Junk,1-800-Got-Junk,91.66666666666666,global,5027071-01-01 - Aurora 2 Naperville IL 1 Whea,5027071-01-01 - Aurora 2 Naperville IL 1 Whea
WEST BANK SANITATION A WASTE CONNECTIONS COMPANY,Waste Connections – West Bank Sanitation,88.37209302325581,constrained,5027179-01-01 - LA BARGE,5027179-01-01 - LA BARGE
All American Disposal,All American Disposal,100.0,constrained,5027209-01-01 - OTTAWA-1,5027209-01-01 - OTTAWA-1
RICH COUNTY SANITATION,Rich County Sanitation,100.0,constrained,5027217-01-01 - Randolph/Woodruff UT FHC,5027217-01-01 - Randolph/Woodruff UT FHC
Walker Laked Disposal,"WALKER LAKE DISPOSAL, INC",88.88888888888889,global,5027217-01-01 - Randolph/Woodruff UT FHC,5027217-01-01 - Randolph/Woodruff UT FHC
Rich County Sanitation,Rich County Sanitation,100.0,constrained,5027268-02-01 - WOODRUFF-2,5027268-02-01 - WOODRUFF-2
Rich County Sanitation Invoice,Rich County Sanitation,84.61538461538461,constrained,5027268-02-01 - WOODRUFF-2,5027268-02-01 - WOODRUFF-2
City of Enumclaw DO,City of Enumclaw,91.42857142857143,constrained,5027411-01-01 - Enumclaw Stake Center,5027411-01-01 - Enumclaw Stake Center
City of Enumclaw,City of Enumclaw,100.0,constrained,5027411-01-01 - Enumclaw Stake Center,5027411-01-01 - Enumclaw Stake Center
Indian Waste,Indiana Waste Service,72.72727272727273,constrained,5027640-01-01 - GRIFFITH,5027640-01-01 - GRIFFITH
CONTAINER SERVICE CORP.,Myers Container Service Corp,88.0,constrained,502772 - ESSEX JUNCTION MAIN POST OFFICE,502772 - ESSEX JUNCTION MAIN POST OFFICE
Myers CONTAINER SERVICE CORP.,Myers Container Service Corp,100.0,constrained,502772 - ESSEX JUNCTION MAIN POST OFFICE,502772 - ESSEX JUNCTION MAIN POST OFFICE
DuMontelle Waste LLC,"DuMontelle Waste, LLC",100.0,constrained,5027845-01-01 - ARKANSAS CITY,5027845-01-01 - ARKANSAS CITY
Recology - King County,RECOLOGY-KING COUNTY-WASHINGTON,73.46938775510203,constrained,5028132-01-01 - Seattle Wa Uw Institute,5028132-01-01 - Seattle Wa Uw Institute
Best Cleaner Disposal Inc.,Best Cleaner Disposal,91.30434782608697,constrained,5030 Aurora - 941 S Havana,5030 Aurora - 941 S Havana
Bud's clean Up Service,"Bud's Clean Up Service, inc",91.30434782608697,global,5030137-01-01 - Madison,
Best Cleaner,Best Cleaner Disposal,72.72727272727273,constrained,5030951-01-01 - Bible Park MonacoSp Universit,5030951-01-01 - Bible Park MonacoSp Universit
"CONSOLIDATED DISPOSAL Grant SERVICES, INC.",Consolidated Disposal Services Inc,91.89189189189189,constrained,5031184-01-01 - Royal Camp Othello Campus,5031184-01-01 - Royal Camp Othello Campus
Consolidated Disposal,Consolidated Disposal Services Inc,76.36363636363637,constrained,5031184-01-01 - Royal Camp Othello Campus,5031184-01-01 - Royal Camp Othello Campus
Consolidated Disposal Services,Consolidated Disposal Services Inc,93.75,constrained,5031184-01-01 - Royal Camp Othello Campus,5031184-01-01 - Royal Camp Othello Campus
PREMIER DISPOSAL,Premier Disposal Illinois,78.04878048780488,constrained,5032253-01-01 - MATTOON,5032253-01-01 - MATTOON
THE DALLES DISPOSAL A WASTE CONNECTIONS COMPANY,Waste Connections - The Dalles Disposal,88.09523809523809,global,5032415-01-01,5013450-01-01
Western Disposal,Western Disposal Services,78.04878048780488,constrained,5032512-01-01 - BOULDER MOUNTAIN VIEW YSA,5032512-01-01 - BOULDER MOUNTAIN VIEW YSA
Miller Enterprises Inc,Miller Enterprises,90.0,constrained,5032806-01-01 - Pinetop Recreation Camp,5032806-01-01 - Pinetop Recreation Camp
"City of Boise, ID","City of Boise, ID",100.0,constrained,"5033020-01-01 - Castle Park, Rivergien","5033020-01-01 - Castle Park, Riverglen"
K & K SANITATION,"K&K Sanitation, Inc",83.87096774193549,constrained,5033594-01-01 - Tridell UT FHC,5033594-01-01 - Tridell UT FHC
ROBERTS Enterprises,Roberts Enterprise,97.2972972972973,constrained,5033950-01-01 - PAONIA,5033950-01-01 - PAONIA
"ROBERTS ENTERPRISES, INC.",Roberts Enterprise,87.8048780487805,constrained,5033950-01-01 - PAONIA,5033950-01-01 - PAONIA
K&K Sanitation,"K&K Sanitation, Inc",86.66666666666667,constrained,5034043-01-01 - BRIDGELAND,5034043-01-01 - BRIDGELAND
City of Roosevelt,Roosevelt City,90.32258064516128,constrained,"5035015-01-01 - Central Park, Roosevelt 15","5035015-01-01 - Central Park, Roosevelt 15"
City of Roosevelt City,Roosevelt City,77.77777777777779,constrained,"5035015-01-01 - Central Park, Roosevelt 15","5035015-01-01 - Central Park, Roosevelt 15"
City of Roosvelt,Roosevelt City,86.66666666666667,constrained,"5035015-01-01 - Central Park, Roosevelt 15","5035015-01-01 - Central Park, Roosevelt 15"
OOSEVELT CITY,Roosevelt City,96.2962962962963,constrained,"5035015-01-01 - Central Park, Roosevelt 15","5035015-01-01 - Central Park, Roosevelt 15"
Roosevelt City,Roosevelt City,100.0,constrained,"5035015-01-01 - Central Park, Roosevelt 15","5035015-01-01 - Central Park, Roosevelt 15"
ROOSEVELT OOSEVELT CITY,Roosevelt City,75.67567567567568,constrained,"5035104-01-01 -  Centennial, Cobble Hollow, C","5035104-01-01 -  Centennial, Cobble Hollow, C"
Rppseve;t City,Roosevelt City,81.4814814814815,constrained,"5035104-01-01 -  Centennial, Cobble Hollow, C","5035104-01-01 -  Centennial, Cobble Hollow, C"
Roosvelt City,Roosevelt City,96.2962962962963,constrained,"5035104-01-01 - Centennial, Cobble Hollow, C","5035104-01-01 -  Centennial, Cobble Hollow, C"
City of Green River,City of Green River,100.0,constrained,5035651-01-01 - Green River UT FHC,5035651-01-01 - Green River UT FHC
Red Can Sanitation,Red Can Sanitation,100.0,constrained,5035937-01-01 - AUSTIN-2,5035937-01-01 - AUSTIN-2
City of Kaysville,Kaysville City,90.32258064516128,constrained,5037476-01-01 - Kaysville UT Kaysville Jr Se,5037476-01-01 - Kaysville UT Kaysville Jr Se
Kaysville City,Kaysville City,100.0,constrained,5037476-01-01 - Kaysville UT Kaysville Jr Se,5037476-01-01 - Kaysville UT Kaysville Jr Se
Kaysville,Kaysville City,78.26086956521739,constrained,5037476-01-01 - Kaysville UT Kaysville Jr Se,5037476-01-01 - Kaysville UT Kaysville Jr Se
Hughes Waste Haulers Inc.,Hughes Waste Haulers,90.9090909090909,constrained,"5038197-01-01 - Escalante 1, 2","5038197-01-01 - Escalante 1, 2"
Southwest Disposal ALAMOGORDO A Waste Connections Company,Waste Connections - Southwest Disposal Alamogordo 5230,88.07339449541286,constrained,5038839-01-01 - Alamogordo,5038839-01-01 - Alamogordo
SOUTHWEST DISPOSAL ALAMOGORDO,Waste Connections - Southwest Disposal Alamogordo 5230,71.60493827160495,constrained,5038839-01-01 - Alamogordo,5038839-01-01 - Alamogordo
EL PASO DISPOSAL A WASTE CONNECTIONS COMPANY,Waste Connections - El Paso Disposal 5110,84.33734939759037,constrained,5039444-01-01 - Rosemont Campus,5039444-01-01 - Rosemont Campus
EL PASO DISPOSAL\nA WASTE CONNECTIONS COMPANY,Waste Connections - El Paso Disposal 5110,84.33734939759037,constrained,5039444-01-01 - Rosemont Campus,5039444-01-01 - Rosemont Campus
MERIDIAN,MERIDIAN WASTE,72.72727272727273,constrained,5039495-01-01 - ST CHARLES ST PETERS WELDON S,5039495-01-01 - ST CHARLES ST PETERS WELDON S
Tiger Sanitation,TIGER SANITATION,100.0,constrained,5042976-01-01 - First Ward,5042976-01-01 - First Ward
Lincoln County Solid Waste,Lincoln County NV Solid Waste,94.54545454545455,constrained,5044154-01-01 - Alamo Campus,5044154-01-01 - Alamo Campus
"PAHRUMP VALLEY DISPOSAL, INC.",Waste Connections - Pahrump Valley Disposal Inc,75.0,constrained,5044332-01-01 - Pahrump/Wilson,5044332-01-01 - Pahrump/Wilson
"Olcese Waste Services, Inc.",Olcese Waste Services,91.30434782608697,constrained,5044340-01-01 - Fernley 1 2,5044340-01-01 - Fernley 1 2
City of Idaho Falls,City of Post Falls - Idaho,88.37209302325581,global,"5044863-01-01 - Parley, Woodruff","5044863-01-01 - Parley, Woodruff"
C&S WASTE SOLUTIONS OF LASSEN COUNTY,Waste Connections - C&S Waste Solutions of Lassen County,79.54545454545455,constrained,5045290-01-01 - Susanville 1 2,5045290-01-01 - Susanville 1 2
"C&S WASTE SOLUTIONS OF LASSEN COUNTY,",Waste Connections - C&S Waste Solutions of Lassen County,79.54545454545455,constrained,5045290-01-01 - Susanville 1 2,5045290-01-01 - Susanville 1 2
"C&S WASTE SOLUTIONS OF LASSEN COUNTY, LLC",Waste Connections - C&S Waste Solutions of Lassen County,76.08695652173914,constrained,5045290-01-01 - Susanville 1 2,5045290-01-01 - Susanville 1 2
South Tahoe Refuse & Recycling Services,"South Tahoe Refuse Co., Inc",70.96774193548387,constrained,5045495-01-01 - South Lake Tahoe,5045495-01-01 - South Lake Tahoe
South Tahoe Refuse,"South Tahoe Refuse Co., Inc",83.72093023255813,constrained,5045495-01-01 - South Lake Tahoe,5045495-01-01 - South Lake Tahoe
STR,STRR,85.71428571428572,global,5045495-01-01 - South Lake Tahoe,5045495-01-01 - South Lake Tahoe
Tahoe Basin Container & Recycling Services,Tahoe Basin Container & Recycling Services,100.0,global,5045495-01-01 - South Lake Tahoe,5045495-01-01 - South Lake Tahoe
ELY DISPOSAL SERVICE INC,"EZ Disposal Service, Inc.",93.61702127659575,global,5046076-01-01 - Ely 1 2 3 And Stake,5046076-01-01 - Ely 1 2 3 And Stake
D & S Disposal,C&D Disposal,86.95652173913044,global,5046092-01-01 - Yerington,5046092-01-01 - Yerington
D & S Waste Removal,D & S Waste Removal,100.0,constrained,5046092-01-01 - Yerington,5046092-01-01 - Yerington
"D & S WASTE REMOVAL, INC.",D & S Waste Removal,89.47368421052632,constrained,5046092-01-01 - Yerington,5046092-01-01 - Yerington
"D&S WASTE REMOVAL, INC.",D & S Waste Removal,81.08108108108108,constrained,5046092-01-01 - Yerington,5046092-01-01 - Yerington
WASTE DISPOSAL,R&S Waste Disposal,90.32258064516128,global,5046092-01-01 - Yerington,5046092-01-01 - Yerington
Republic Services Inc.,Republic Services #620,85.71428571428572,constrained,5046696-01-01 - Charleston,5046696-01-01 - Charleston
Waste Resources,WASTE RESOURCES GARDENA,78.94736842105263,constrained,5046726-01-01 - Gardena Ca Ecc Institute,5046726-01-01 - Gardena Ca Ecc Institute
IDAHO FALLS City of Idaho Falls,Idaho Falls Utilities - City of Idaho Falls,86.11111111111111,constrained,5047137-01-01 - Ammon ID FM Group - IFM,5047137-01-01 - Ammon ID FM Group - IFM
IDAHO FALLS UTILITIES City of Idaho Falls,Idaho Falls Utilities - City of Idaho Falls,100.0,constrained,"5047153-01-01 - Bonneville YSA, Community Pa","5047153-01-01 - Bonneville YSA, Community Pa"
Wayne County Sanitation,TOWN & COUNTRY SANITATION,86.95652173913044,global,5047803-05-01,
Western Kane County Special,Western Kane County,82.6086956521739,constrained,5047927-01-01 - Kanab Stake Offices - 20 W C,5047927-01-01 - Kanab Stake Offices - 20 W C
Western Kane County Special Service,Western Kane County,70.37037037037037,constrained,5047927-01-01 - Kanab Stake Offices - 20 W C,5047927-01-01 - Kanab Stake Offices - 20 W C
FRONTIER WASTE - CORPUS,Frontier Waste,80.0,constrained,5048362-01-01 - Horne Rd,5048362-01-01 - Horne Rd
"Parish Disposal, LLC",Parish Disposal IND,84.21052631578947,constrained,5048451-01-01 - LAKE CHARLES,5048451-01-01 - LAKE CHARLES
WASATCH COUNTY SOLID WASTE SSD,Wasatch County Solid Waste Disposal,83.07692307692307,constrained,"5048966-01-01 - HEBER 3, 4","5048966-01-01 - HEBER 3, 4"
"Hughes & Sons, Inc",Hughes & Sons Inc,100.0,constrained,"5049008-01-01 - Beaver 1,2","5049008-01-01 - Beaver 1,2"
Delta Garbage Service,Delta Garbage Service,100.0,constrained,"5050162-01-01 - OAK CITY 1, 2","5050162-01-01 - OAK CITY 1, 2"
Tooele County Solid Waste,Tooele County Solid Waste Management,81.9672131147541,constrained,5050960-01-01 - 8 Rush Valley,5050960-01-01 - 8 Rush Valley
Toole County Solid Waste,Tooele County Solid Waste Management,80.0,constrained,5050960-01-01 - 8 Rush Valley,5050960-01-01 - 8 Rush Valley
Topale County Solid Waste,Tooele County Solid Waste Management,75.40983606557377,constrained,5050960-01-01 - 8 Rush Valley,5050960-01-01 - 8 Rush Valley
County Solid Waste,Hart County Solid Waste,87.8048780487805,global,5051363-02-01 - 11 Vernon,5051363-02-01 - 11 Vernon
Western Kane County,Western Kane County,100.0,global,5051622-02-01,
City of Roosvelt City,Roosevelt City,74.28571428571429,constrained,5051649-02-01 - Roosevelt UT Roosevelt Sr Sem,5051649-02-01 - Roosevelt UT Roosevelt Sr Sem
OOSEVELT,Roosevelt City,72.72727272727273,constrained,5051649-02-01 - Roosevelt UT Roosevelt Sr Sem,5051649-02-01 - Roosevelt UT Roosevelt Sr Sem
SEVELT CITY,Roosevelt City,88.0,constrained,5051649-02-01 - Roosevelt UT Roosevelt Sr Sem,5051649-02-01 - Roosevelt UT Roosevelt Sr Sem
Best Pick Disposal,Best Pick Disposal Inc,90.0,constrained,5053285-01-01 - Prescott AZ FHC (Ruth St),5053285-01-01 - Prescott AZ FHC (Ruth St)
BEST PICK DISPOSAL INC,Best Pick Disposal Inc,100.0,constrained,5053285-01-01 - Prescott AZ FHC (Ruth St),5053285-01-01 - Prescott AZ FHC (Ruth St)
Taylor & Sons Hauling,S TAYLOR & SONS HAULING,95.0,constrained,5053323-01-01 - Camp Verde,5053323-01-01 - Camp Verde
"Bulldog Disposal & Recycling, Inc.",Bulldog Disposal and Recycling,86.66666666666667,constrained,5053706-01-01 Rutherford,5053706-01-01 Rutherford
