vendor_name,normalized,aggressive_normalized,invoice_count
Royal Oak,ROYAL OAK,ROYAL OAK,3
Harters,HARTERS,HARTERS,3
"RICHLAND COUNTY LANDFILL, INC.","RICHLAND COUNTY LANDFILL, INC.",RICHLAND COUNTY LANDFILL,3
Texas Dumpsters,TEXAS DUMPSTERS,TEXAS DUMPSTERS,3
City of Mont Belvieu,CITY OF MONT BELVIEU,CITY OF MONT BELVIEU,3
SMITH CREEK UNITED,SMITH CREEK UNITED,SMITH CREEK UNITED,3
CITRUS COUNTY BOARD OF COUNTY COMMISSIONERS,CITRUS COUNTY BOARD OF COUNTY COMMISSIONERS,CITRUS COUNTY BOARD OF COUNTY COMMISSIONERS,3
NORTH PORT SOLID WASTE DISTRICT,NORTH PORT SOLID WASTE DISTRICT,NORTH PORT SOLID WASTE DISTRICT,3
WASTE PRO Caring For,WASTE PRO CARING FOR,WASTE PRO CARING FOR,3
Gainesville Hauling,GAINESVILLE HAULING,GAINESVILLE HAULING,3
"EXPERT TRANSPORTATION & SERVICES, INC","EXPERT TRANSPORTATION & SERVICES, INC",EXPERT TRANSPORTATION SERVICES,3
WASTEQUIP®,WASTEQUIP®,WASTEQUIP,3
"PARKER & SONS, INC.","PARKER & SONS, INC.",PARKER SONS,3
Conex,CONEX,CONEX,3
HEM Service,HEM SERVICE,HEM SERVICE,3
"Self Recycling, Inc.","SELF RECYCLING, INC.",SELF RECYCLING,3
ALL GREEN SERVICES,ALL GREEN SERVICES,ALL GREEN SERVICES,3
J&T\nEnvironmental Fleet Services,J&T\NENVIRONMENTAL FLEET SERVICES,J T NENVIRONMENTAL FLEET SERVICES,3
"Eastern Waste Services, LLC-Hiltz","EASTERN WASTE SERVICES, LLC-HILTZ",EASTERN WASTE SERVICES HILTZ,3
"Eastern Waste, LLC","EASTERN WASTE, LLC",EASTERN WASTE,3
Smash My Trash,SMASH MY TRASH,SMASH MY TRASH,3
Shredding & Recycling,SHREDDING & RECYCLING,SHREDDING RECYCLING,3
A Kat SCRAP METAL INC.,A KAT SCRAP METAL INC.,A KAT SCRAP METAL,3
NISLY,NISLY,NISLY,3
Brandon,BRANDON,BRANDON,3
Don Crenshaw & Sons,DON CRENSHAW & SONS,DON CRENSHAW SONS,3
Priority Waste,PRIORITY WASTE,PRIORITY WASTE,3
", L.L.C.",", L.L.C.",,3
"UCKY, L.L.C.","UCKY, L.L.C.",UCKY,3
"ALPHARETTA TRANSFER STATION, LLC","ALPHARETTA TRANSFER STATION, LLC",ALPHARETTA TRANSFER STATION,3
HUGHES TRASH,HUGHES TRASH,HUGHES TRASH,3
Chesapeake Waste Industries,CHESAPEAKE WASTE INDUSTRIES,CHESAPEAKE WASTE INDUSTRIES,3
"GARDNER DISPOSAL SERVICE, INC","GARDNER DISPOSAL SERVICE, INC",GARDNER DISPOSAL SERVICE,3
Ridgerunner Container,RIDGERUNNER CONTAINER,RIDGERUNNER CONTAINER,3
Roadrunner Container,ROADRUNNER CONTAINER,ROADRUNNER CONTAINER,3
W Smurfit Westrock,W SMURFIT WESTROCK,W SMURFIT WESTROCK,3
RECEIVING TICKET,RECEIVING TICKET,RECEIVING TICKET,3
Hauler Information The Trash Guys,HAULER INFORMATION THE TRASH GUYS,HAULER INFORMATION THE TRASH GUYS,3
Cavossa Disposal,CAVOSSA DISPOSAL,CAVOSSA DISPOSAL,3
Clark's Disposal Inc.,CLARK'S DISPOSAL INC.,CLARK S DISPOSAL,3
"Portable Toilets, LLC","PORTABLE TOILETS, LLC",PORTABLE TOILETS,3
Area Refuse,AREA REFUSE,AREA REFUSE,3
SERVICE,SERVICE,SERVICE,3
Proware Systems,PROWARE SYSTEMS,PROWARE SYSTEMS,3
EMTERRA,EMTERRA,EMTERRA,3
PADNOS,PADNOS,PADNOS,3
A-1 Disposal,A-1 DISPOSAL,A 1 DISPOSAL,3
BLUE RIDGE WASTE,BLUE RIDGE WASTE,BLUE RIDGE WASTE,3
PANDLA COUNTY SOLID WASTE,PANDLA COUNTY SOLID WASTE,PANDLA COUNTY SOLID WASTE,3
PANOLA COUNTY,PANOLA COUNTY,PANOLA COUNTY,3
PANOLA COUNTY SOLID WASTE,PANOLA COUNTY SOLID WASTE,PANOLA COUNTY SOLID WASTE,3
After Hours Cleaning,AFTER HOURS CLEANING,AFTER HOURS CLEANING,3
SRG Spartanburg (Yard 2),SRG SPARTANBURG (YARD 2),SRG SPARTANBURG YARD 2,3
CITY OF WILLISTON,CITY OF WILLISTON,CITY OF WILLISTON,3
C&H DISPOSAL,C&H DISPOSAL,C H DISPOSAL,3
PINTO,PINTO,PINTO,3
Green Guys Re,GREEN GUYS RE,GREEN GUYS RE,3
AMERICAN\nDISPOSAL\nSYSTEMS,AMERICAN\NDISPOSAL\NSYSTEMS,AMERICAN NDISPOSAL NSYSTEMS,3
COUNTY WASTE- CLIFTON PARK,COUNTY WASTE- CLIFTON PARK,COUNTY WASTE CLIFTON PARK,3
Royal Carting,ROYAL CARTING,ROYAL CARTING,3
BORO WIDE,BORO WIDE,BORO WIDE,3
Wasteaway Dumpster Service,WASTEAWAY DUMPSTER SERVICE,WASTEAWAY DUMPSTER SERVICE,3
PETE & PETE,PETE & PETE,PETE PETE,3
AUTO PARTS & RECYCLING,AUTO PARTS & RECYCLING,AUTO PARTS RECYCLING,3
", INC.",", INC.",,3
Reddy Equipment Inc.,REDDY EQUIPMENT INC.,REDDY EQUIPMENT,3
"Refuse Equipment Services, Inc","REFUSE EQUIPMENT SERVICES, INC",REFUSE EQUIPMENT SERVICES,3
"LIBERTY DISPOSAL, INC. OK, KS, CO","LIBERTY DISPOSAL, INC. OK, KS, CO",LIBERTY DISPOSAL OK KS,3
TIGER CASELLA MID ATLANTIC LLC,TIGER CASELLA MID ATLANTIC LLC,TIGER CASELLA MID ATLANTIC,3
"GARBAGE SERVICE, Inc","GARBAGE SERVICE, INC",GARBAGE SERVICE,3
American Disposal Systems,AMERICAN DISPOSAL SYSTEMS,AMERICAN DISPOSAL SYSTEMS,3
Salt River Pima,SALT RIVER PIMA,SALT RIVER PIMA,3
City of Fort Smith,CITY OF FORT SMITH,CITY OF FORT SMITH,3
& Sanitation,& SANITATION,SANITATION,3
WASTE CONNECTIONS OF FLORIDA\nLAKE COUNTY HAULING,WASTE CONNECTIONS OF FLORIDA\NLAKE COUNTY HAULING,WASTE CONNECTIONS OF FLORIDA NLAKE COUNTY HAULING,3
WASTE CONNECTIONS OF FLORIDA\nTAMPA HAULING,WASTE CONNECTIONS OF FLORIDA\NTAMPA HAULING,WASTE CONNECTIONS OF FLORIDA NTAMPA HAULING,3
Marcotte Disposal Company Inc.,MARCOTTE DISPOSAL COMPANY INC.,MARCOTTE DISPOSAL COMPANY,3
CH UM REFUSE,CH UM REFUSE,CH UM REFUSE,3
WASTE MASTERS,WASTE MASTERS,WASTE MASTERS,2
WASTEMASTERS,WASTEMASTERS,WASTEMASTERS,2
Outlook,OUTLOOK,OUTLOOK,2
Sid's Garbage Pickup,SID'S GARBAGE PICKUP,SID S GARBAGE PICKUP,2
Waste Connections of Tennessee,WASTE CONNECTIONS OF TENNESSEE,WASTE CONNECTIONS OF TENNESSEE,2
"ARROW DISPOSAL SERVICE, INC.","ARROW DISPOSAL SERVICE, INC.",ARROW DISPOSAL SERVICE,2
Missed Pickup,MISSED PICKUP,MISSED PICKUP,2
CITY OF RAINSVILLE,CITY OF RAINSVILLE,CITY OF RAINSVILLE,2
Mike Hardin,MIKE HARDIN,MIKE HARDIN,2
"Martin ENVIRONMENTAL SERVICES, INC.","MARTIN ENVIRONMENTAL SERVICES, INC.",MARTIN ENVIRONMENTAL SERVICES,2
County Solid Waste Department,COUNTY SOLID WASTE DEPARTMENT,COUNTY SOLID WASTE DEPARTMENT,2
LAWRENCE Keep,LAWRENCE KEEP,LAWRENCE KEEP,2
LAWRENCE\nKeep,LAWRENCE\NKEEP,LAWRENCE NKEEP,2
SOLID WASTE,SOLID WASTE,SOLID WASTE,2
Jackson County Solid Waste,JACKSON COUNTY SOLID WASTE,JACKSON COUNTY SOLID WASTE,2
Waste Connections - Tennessee,WASTE CONNECTIONS - TENNESSEE,WASTE CONNECTIONS TENNESSEE,2
FALLBROOK WASTE & RECYCLING,FALLBROOK WASTE & RECYCLING,FALLBROOK WASTE RECYCLING,2
Medical Environmental\nTechnologies,MEDICAL ENVIRONMENTAL\NTECHNOLOGIES,MEDICAL ENVIRONMENTAL NTECHNOLOGIES,2
"MAULDIN TRASH, INC","MAULDIN TRASH, INC",MAULDIN TRASH,2
RHINO,RHINO,RHINO,2
"RHINO\nWASTE & RECYCLING, INC.","RHINO\NWASTE & RECYCLING, INC.",RHINO NWASTE RECYCLING,2
CWS Chattanooga Hauling,CWS CHATTANOOGA HAULING,CWS CHATTANOOGA HAULING,2
WASTE MANAGEMENT INC. OF FLORIDA,WASTE MANAGEMENT INC. OF FLORIDA,WASTE MANAGEMENT OF FLORIDA,2
DENALI\nREFUSE,DENALI\NREFUSE,DENALI NREFUSE,2
BestWay,BESTWAY,BESTWAY,2
CB Direct LLC,CB DIRECT LLC,CB DIRECT,2
Affordable Waste,AFFORDABLE WASTE,AFFORDABLE WASTE,2
HANCOCK COUNTY LANDFILL,HANCOCK COUNTY LANDFILL,HANCOCK COUNTY LANDFILL,2
Greif,GREIF,GREIF,2
OLYMPIC COMPACTOR RENTAL I,OLYMPIC COMPACTOR RENTAL I,OLYMPIC COMPACTOR RENTAL I,2
RECYCLE 1 - CHRC OF ARIZONA,RECYCLE 1 - CHRC OF ARIZONA,RECYCLE 1 CHRC OF ARIZONA,2
Stericycle Shred-it,STERICYCLE SHRED-IT,STERICYCLE SHRED IT,2
Contractors Disposal,CONTRACTORS DISPOSAL,CONTRACTORS DISPOSAL,2
METAL & PAPER,METAL & PAPER,METAL PAPER,2
ASPEN WASTE SYSTEMS OF IOWA INC.,ASPEN WASTE SYSTEMS OF IOWA INC.,ASPEN WASTE SYSTEMS OF IOWA,2
Reworld\nPreviously Covanta,REWORLD\NPREVIOUSLY COVANTA,REWORLD NPREVIOUSLY COVANTA,2
ASPEN LEASING GROUP INC.,ASPEN LEASING GROUP INC.,ASPEN LEASING GROUP,2
Heather Montgomery,HEATHER MONTGOMERY,HEATHER MONTGOMERY,2
Mid-Ohio Sanitation & Recycling LLC,MID-OHIO SANITATION & RECYCLING LLC,MID OHIO SANITATION RECYCLING,2
Bardstown,BARDSTOWN,BARDSTOWN,2
Cable Internet - Utilities,CABLE INTERNET - UTILITIES,CABLE INTERNET UTILITIES,2
GRAND 7915 S. Division,GRAND 7915 S. DIVISION,GRAND 7915 S DIVISION,2
City of Redwood,CITY OF REDWOOD,CITY OF REDWOOD,2
Redwood City,REDWOOD CITY,REDWOOD CITY,2
ARDSON WASTE REMOVAL LLC,ARDSON WASTE REMOVAL LLC,ARDSON WASTE REMOVAL,2
ON WASTE REMOVAL LLC,ON WASTE REMOVAL LLC,ON WASTE REMOVAL,2
CLOQUET,CLOQUET,CLOQUET,2
City Sanitary Service MN,CITY SANITARY SERVICE MN,CITY SANITARY SERVICE MN,2
Exclusive Service & Maintenance Co LLC,EXCLUSIVE SERVICE & MAINTENANCE CO LLC,EXCLUSIVE SERVICE MAINTENANCE,2
TALON SANITATION,TALON SANITATION,TALON SANITATION,2
"Talon Sanitation, LLC","TALON SANITATION, LLC",TALON SANITATION,2
Franklin Disposal,FRANKLIN DISPOSAL,FRANKLIN DISPOSAL,2
"WASTE MANAGEMENT, INC. OF TENNESSEE","WASTE MANAGEMENT, INC. OF TENNESSEE",WASTE MANAGEMENT OF TENNESSEE,2
BI-COUNTY\nDisposal Inc.,BI-COUNTY\NDISPOSAL INC.,BI COUNTY NDISPOSAL,2
Knighthorst,KNIGHTHORST,KNIGHTHORST,2
Lance Refuse Service Inc,LANCE REFUSE SERVICE INC,LANCE REFUSE SERVICE,2
Dodd's Trash Hauling,DODD'S TRASH HAULING,DODD S TRASH HAULING,2
Hauler Information Waterman Recycling & Disposal,HAULER INFORMATION WATERMAN RECYCLING & DISPOSAL,HAULER INFORMATION WATERMAN RECYCLING DISPOSAL,2
Waterman,WATERMAN,WATERMAN,2
Waterman Recycling,WATERMAN RECYCLING,WATERMAN RECYCLING,2
Harters Fox Valley Disposal,HARTERS FOX VALLEY DISPOSAL,HARTERS FOX VALLEY DISPOSAL,2
EAGLE Disposa,EAGLE DISPOSA,EAGLE DISPOSA,2
EAGLE,EAGLE,EAGLE,2
LAKELAND DISPOSAL,LAKELAND DISPOSAL,LAKELAND DISPOSAL,2
OSE GBORNE HAULING INC,OSE GBORNE HAULING INC,OSE GBORNE HAULING,2
"DELAWARE RECYCLABLE PRODUCTS, INC.","DELAWARE RECYCLABLE PRODUCTS, INC.",DELAWARE RECYCLABLE PRODUCTS,2
PROWARE,PROWARE,PROWARE,2
"Eagle Equipment Service 1, Corp.","EAGLE EQUIPMENT SERVICE 1, CORP.",EAGLE EQUIPMENT SERVICE 1,2
R-Loical,R-LOICAL,R LOICAL,2
J P Mascaro & Sons,J P MASCARO & SONS,J P MASCARO SONS,2
JP Mascaro & Sons,JP MASCARO & SONS,JP MASCARO SONS,2
Wisneski's Westmoreland Sry LLC,WISNESKI'S WESTMORELAND SRY LLC,WISNESKI S WESTMORELAND SRY,2
JUNK SOLUTIONS HAULING AND REMOVAL,JUNK SOLUTIONS HAULING AND REMOVAL,JUNK SOLUTIONS HAULING AND REMOVAL,2
Cleaton Sanitation,CLEATON SANITATION,CLEATON SANITATION,2
Cleeton,CLEETON,CLEETON,2
ROLL-OFF SERVICES,ROLL-OFF SERVICES,ROLL OFF SERVICES,2
Richmond Sanitary District,RICHMOND SANITARY DISTRICT,RICHMOND SANITARY DISTRICT,2
"Richmond Sanitary District,","RICHMOND SANITARY DISTRICT,",RICHMOND SANITARY DISTRICT,2
Official Corespondence Only,OFFICIAL CORESPONDENCE ONLY,OFFICIAL CORESPONDENCE ONLY,2
Tri-County Waste of Henderson,TRI-COUNTY WASTE OF HENDERSON,TRI COUNTY WASTE OF HENDERSON,2
Marion County Fiscal,MARION COUNTY FISCAL,MARION COUNTY FISCAL,2
REFUSE SERVICE,REFUSE SERVICE,REFUSE SERVICE,2
MIDWEST PAPER,MIDWEST PAPER,MIDWEST PAPER,2
Renewable,RENEWABLE,RENEWABLE,2
Richardson Waste Services LLC,RICHARDSON WASTE SERVICES LLC,RICHARDSON WASTE SERVICES,2
COMMERCIAL WASTE,COMMERCIAL WASTE,COMMERCIAL WASTE,2
TEXAS,TEXAS,TEXAS,2
TEXAS\nCOMMERCIAL WASTE,TEXAS\NCOMMERCIAL WASTE,TEXAS NCOMMERCIAL WASTE,2
Live Oak Crockett,LIVE OAK CROCKETT,LIVE OAK CROCKETT,2
"Service, Inc.","SERVICE, INC.",SERVICE,2
SCHABEN SANITATION A WASTE CONNECTIONS CO,SCHABEN SANITATION A WASTE CONNECTIONS CO,SCHABEN SANITATION A WASTE CONNECTIONS,2
SCHABEN SANITATION A WASTE CONNECTIONS COMPANY,SCHABEN SANITATION A WASTE CONNECTIONS COMPANY,SCHABEN SANITATION A WASTE CONNECTIONS COMPANY,2
SCHABEN SANITATION\nA WASTE CONNECTIONS CO,SCHABEN SANITATION\NA WASTE CONNECTIONS CO,SCHABEN SANITATION NA WASTE CONNECTIONS,2
WASATCH\nINTEGRATED\nwaste management district,WASATCH\NINTEGRATED\NWASTE MANAGEMENT DISTRICT,WASATCH NINTEGRATED NWASTE MANAGEMENT DISTRICT,2
"Island Refuse, Inc.","ISLAND REFUSE, INC.",ISLAND REFUSE,2
BELTON METAL CO.,BELTON METAL CO.,BELTON METAL,2
AAArubbish,AAARUBBISH,AAARUBBISH,2
FRONTIER WASTE - CONROE,FRONTIER WASTE - CONROE,FRONTIER WASTE CONROE,2
"CARDS CARDS DALLAS INC PO BOX 775 TONTITOWN, AR 72770 (877) 592","CARDS CARDS DALLAS INC PO BOX 775 TONTITOWN, AR 72770 (877) 592",CARDS CARDS DALLAS PO BOX 775 TONTITOWN AR 72770 877 592,2
"CARDS CARDS DALLAS INC PO BOX 775 TONTITOWN, AR 72770 (877) 592-2737","CARDS CARDS DALLAS INC PO BOX 775 TONTITOWN, AR 72770 (877) 592-2737",CARDS CARDS DALLAS PO BOX 775 TONTITOWN AR 72770 877 592 2737,2
"CARDS\nCARDS DALLAS INC\nPO BOX 775\nTONTITOWN, AR 72770\n(877) 592-2737","CARDS\NCARDS DALLAS INC\NPO BOX 775\NTONTITOWN, AR 72770\N(877) 592-2737",CARDS NCARDS DALLAS NPO BOX 775 NTONTITOWN AR 72770 N 877 592 2737,2
Martin's Trash Service,MARTIN'S TRASH SERVICE,MARTIN S TRASH SERVICE,2
"ALASKA WASTE - DENALI, LLC","ALASKA WASTE - DENALI, LLC",ALASKA WASTE DENALI,2
COUNTY Rich County,COUNTY RICH COUNTY,COUNTY RICH COUNTY,2
King County,KING COUNTY,KING COUNTY,2
BOZEMAN',BOZEMAN',BOZEMAN,2
CHURCH OF LATTER DAY SAINTS #5,CHURCH OF LATTER DAY SAINTS #5,CHURCH OF LATTER DAY SAINTS 5,2
"SOUTH COUNTY SANITARY SVC, INC","SOUTH COUNTY SANITARY SVC, INC",SOUTH COUNTY SANITARY SVC,2
Paso Robles Waste&,PASO ROBLES WASTE&,PASO ROBLES WASTE,2
Paso Robles\nWaste&,PASO ROBLES\NWASTE&,PASO ROBLES NWASTE,2
"SONS, INC","SONS, INC",SONS,2
SANTA CLARA VALLEY DISP.,SANTA CLARA VALLEY DISP.,SANTA CLARA VALLEY DISP,2
MarBorg,MARBORG,MARBORG,2
Tri County,TRI COUNTY,TRI COUNTY,2
BITTER ROOT DISPOSAL A WASTE CONNECTIONS COMPANY,BITTER ROOT DISPOSAL A WASTE CONNECTIONS COMPANY,BITTER ROOT DISPOSAL A WASTE CONNECTIONS COMPANY,2
JUNK KING,JUNK KING,JUNK KING,2
ICITY OF,ICITY OF,ICITY OF,2
"King County, Inc.","KING COUNTY, INC.",KING COUNTY,2
"CITY OF RIVERTON, WY","CITY OF RIVERTON, WY",CITY OF RIVERTON WY,2
CONTAINER SERVICE CORP.,CONTAINER SERVICE CORP.,CONTAINER SERVICE,2
HOOD RIVER GARBAGE SERVICE,HOOD RIVER GARBAGE SERVICE,HOOD RIVER GARBAGE SERVICE,2
Lakeside Disposal\nFour Generations\nof Talking Trash,LAKESIDE DISPOSAL\NFOUR GENERATIONS\NOF TALKING TRASH,LAKESIDE DISPOSAL NFOUR GENERATIONS NOF TALKING TRASH,2
"COLUMBIA RIVER DISPOSAL, INC","COLUMBIA RIVER DISPOSAL, INC",COLUMBIA RIVER DISPOSAL,2
Oklahoma Hauling,OKLAHOMA HAULING,OKLAHOMA HAULING,2
Bud's Clean Up,BUD'S CLEAN UP,BUD S CLEAN UP,2
PREMIER DISPOSAL,PREMIER DISPOSAL,PREMIER DISPOSAL,2
Southwest Disposal ALAMOGORDO A Waste Connections Company,SOUTHWEST DISPOSAL ALAMOGORDO A WASTE CONNECTIONS COMPANY,SOUTHWEST DISPOSAL ALAMOGORDO A WASTE CONNECTIONS COMPANY,2
SOUTHWEST DISPOSAL ALAMOGORDO,SOUTHWEST DISPOSAL ALAMOGORDO,SOUTHWEST DISPOSAL ALAMOGORDO,2
"Alaska Waste-Kenai Peninsula, LLC","ALASKA WASTE-KENAI PENINSULA, LLC",ALASKA WASTE KENAI PENINSULA,2
BOULDER CITY DISPOSAL INC,BOULDER CITY DISPOSAL INC,BOULDER CITY DISPOSAL,2
Tahoe Basin,TAHOE BASIN,TAHOE BASIN,2
"Yucaipa Disposal, Inc.","YUCAIPA DISPOSAL, INC.",YUCAIPA DISPOSAL,2
Waste Pro -623,WASTE PRO -623,WASTE PRO 623,2
"Millennium Waste, Inc","MILLENNIUM WASTE, INC",MILLENNIUM WASTE,2
Tooele County,TOOELE COUNTY,TOOELE COUNTY,2
OOSEVELT,OOSEVELT,OOSEVELT,2
AMERICAN RECLAMATION INC,AMERICAN RECLAMATION INC,AMERICAN RECLAMATION,2
Envirotech Waste Services,ENVIROTECH WASTE SERVICES,ENVIROTECH WASTE SERVICES,2
BLACKFOOT,BLACKFOOT,BLACKFOOT,2
Solid Waste Services,SOLID WASTE SERVICES,SOLID WASTE SERVICES,2
CITY OF ARA VISTA,CITY OF ARA VISTA,CITY OF ARA VISTA,2
Friendman,FRIENDMAN,FRIENDMAN,2
PSI Environmental Services,PSI ENVIRONMENTAL SERVICES,PSI ENVIRONMENTAL SERVICES,2
City of Anthony,CITY OF ANTHONY,CITY OF ANTHONY,2
City of St Aanthony,CITY OF ST AANTHONY,CITY OF ST AANTHONY,2
SOLID WASTE MGMT. CO. LLC.,SOLID WASTE MGMT. CO. LLC.,SOLID WASTE MGMT,2
Gregory Container,GREGORY CONTAINER,GREGORY CONTAINER,2
NORTHEND DISPOSAL A WASTE CONNECTIONS COMPANY,NORTHEND DISPOSAL A WASTE CONNECTIONS COMPANY,NORTHEND DISPOSAL A WASTE CONNECTIONS COMPANY,2
NORTHEND DISPOSAL,NORTHEND DISPOSAL,NORTHEND DISPOSAL,2
"VAIL HONEYWAGON ENTERPRISES, LLC","VAIL HONEYWAGON ENTERPRISES, LLC",VAIL HONEYWAGON ENTERPRISES,2
CARDS KS HAYS LLC,CARDS KS HAYS LLC,CARDS KS HAYS,2
FRIEDMAN,FRIEDMAN,FRIEDMAN,2
UNIVERSITY PLACE,UNIVERSITY PLACE,UNIVERSITY PLACE,2
WYOMING WASTE SERVICES - RAWLINS A WASTE CONNECTIONS COMPANY,WYOMING WASTE SERVICES - RAWLINS A WASTE CONNECTIONS COMPANY,WYOMING WASTE SERVICES RAWLINS A WASTE CONNECTIONS COMPANY,2
WYOMING WASTE SERVICES - RAWLINS,WYOMING WASTE SERVICES - RAWLINS,WYOMING WASTE SERVICES RAWLINS,2
WYOMING WASTE SERVICES - RAWLINS\nA WASTE CONNECTIONS COMPANY,WYOMING WASTE SERVICES - RAWLINS\NA WASTE CONNECTIONS COMPANY,WYOMING WASTE SERVICES RAWLINS NA WASTE CONNECTIONS COMPANY,2
CITY OF GREAT FALLS CITY OF GREAT FALLS,CITY OF GREAT FALLS CITY OF GREAT FALLS,CITY OF GREAT FALLS CITY OF GREAT FALLS,2
City of Great Falls,CITY OF GREAT FALLS,CITY OF GREAT FALLS,2
Live Oak Tyler,LIVE OAK TYLER,LIVE OAK TYLER,2
"RECYCLING, INC.","RECYCLING, INC.",RECYCLING,2
Board of Public Ut,BOARD OF PUBLIC UT,BOARD OF PUBLIC UT,2
Board of Public Utilities Utility,BOARD OF PUBLIC UTILITIES UTILITY,BOARD OF PUBLIC UTILITIES UTILITY,2
Waste\n& Recycling,WASTE\N& RECYCLING,WASTE N RECYCLING,2
The Town of Apple Valley,THE TOWN OF APPLE VALLEY,THE TOWN OF APPLE VALLEY,2
CHURCH OF LATTER,CHURCH OF LATTER,CHURCH OF LATTER,2
Intermountain & Sierra Disposal,INTERMOUNTAIN & SIERRA DISPOSAL,INTERMOUNTAIN SIERRA DISPOSAL,2
SOLID WASTE SSD,SOLID WASTE SSD,SOLID WASTE SSD,2
Sedalia/Central Hauling,SEDALIA/CENTRAL HAULING,SEDALIA CENTRAL HAULING,2
Sedalia/CentralHauling,SEDALIA/CENTRALHAULING,SEDALIA CENTRALHAULING,2
CHURCH OF JESUS CHRIST OF LATT,CHURCH OF JESUS CHRIST OF LATT,CHURCH OF JESUS CHRIST OF LATT,2
VASHON DISPOSAL A WASTE CONNECTIONS COMPANY,VASHON DISPOSAL A WASTE CONNECTIONS COMPANY,VASHON DISPOSAL A WASTE CONNECTIONS COMPANY,2
VASHON DISPOSAL,VASHON DISPOSAL,VASHON DISPOSAL,2
VASHON DISPOSAL\nA WASTE CONNECTIONS COMPANY,VASHON DISPOSAL\NA WASTE CONNECTIONS COMPANY,VASHON DISPOSAL NA WASTE CONNECTIONS COMPANY,2
City of Aztec Utility Billing Department,CITY OF AZTEC UTILITY BILLING DEPARTMENT,CITY OF AZTEC UTILITY BILLING DEPARTMENT,2
"MOUNTAIN VIEW WASTE SYSTEMS, LLC","MOUNTAIN VIEW WASTE SYSTEMS, LLC",MOUNTAIN VIEW WASTE SYSTEMS,2
CITY OF CITY OF TEMPLE,CITY OF CITY OF TEMPLE,CITY OF CITY OF TEMPLE,2
CITY OF TEMPLE,CITY OF TEMPLE,CITY OF TEMPLE,2
"WASTE SERVICE, INC.","WASTE SERVICE, INC.",WASTE SERVICE,2
"Rubbish, LLC.","RUBBISH, LLC.",RUBBISH,2
Updated Holiday,UPDATED HOLIDAY,UPDATED HOLIDAY,2
Updated Holiday &,UPDATED HOLIDAY &,UPDATED HOLIDAY,2
Burrtec - Mountain Disposal,BURRTEC - MOUNTAIN DISPOSAL,BURRTEC MOUNTAIN DISPOSAL,2
"WASTE MANAGEMENT OF OKLAHOMA, INC.","WASTE MANAGEMENT OF OKLAHOMA, INC.",WASTE MANAGEMENT OF OKLAHOMA,2
APEX Waste Solutions,APEX WASTE SOLUTIONS,APEX WASTE SOLUTIONS,2
City of Boise,CITY OF BOISE,CITY OF BOISE,2
Dickinson,DICKINSON,DICKINSON,2
LARUE SANITARY SERVICE,LARUE SANITARY SERVICE,LARUE SANITARY SERVICE,2
"ISLAND DISPOSAL, INC","ISLAND DISPOSAL, INC",ISLAND DISPOSAL,2
Intermountain Disposal,INTERMOUNTAIN DISPOSAL,INTERMOUNTAIN DISPOSAL,2
EDUCATION & INSPECTION,EDUCATION & INSPECTION,EDUCATION INSPECTION,2
Mike's Rubbish,MIKE'S RUBBISH,MIKE S RUBBISH,2
MIKE'S RUBBISH AND,MIKE'S RUBBISH AND,MIKE S RUBBISH AND,2
Emporia City of Emporia,EMPORIA CITY OF EMPORIA,EMPORIA CITY OF EMPORIA,2
R & SWASTE DISPOSAL,R & SWASTE DISPOSAL,R SWASTE DISPOSAL,2
"City & Lakes Disposal, Inc.","CITY & LAKES DISPOSAL, INC.",CITY LAKES DISPOSAL,2
Dillon Disposal Service,DILLON DISPOSAL SERVICE,DILLON DISPOSAL SERVICE,2
NK Waste Inc,NK WASTE INC,NK WASTE,2
CITY OF SULPHUR SPRINGS,CITY OF SULPHUR SPRINGS,CITY OF SULPHUR SPRINGS,2
CARDS,CARDS,CARDS,2
CITY OF RICHARDSON Water Customer Service,CITY OF RICHARDSON WATER CUSTOMER SERVICE,CITY OF RICHARDSON WATER CUSTOMER SERVICE,2
CITY OF RICHARDSON,CITY OF RICHARDSON,CITY OF RICHARDSON,2
"Hauler Information HILL COUNTRY WASTE SOLUTIONS, L.L.C","HAULER INFORMATION HILL COUNTRY WASTE SOLUTIONS, L.L.C",HAULER INFORMATION HILL COUNTRY WASTE SOLUTIONS,2
City of Cheyenne,CITY OF CHEYENNE,CITY OF CHEYENNE,2
Helgerson Property Maintenance,HELGERSON PROPERTY MAINTENANCE,HELGERSON PROPERTY MAINTENANCE,2
Sunny Trash Hauling,SUNNY TRASH HAULING,SUNNY TRASH HAULING,2
ADVANCE DISPOSAL CO.,ADVANCE DISPOSAL CO.,ADVANCE DISPOSAL,2
Placer WASTE ZERO,PLACER WASTE ZERO,PLACER WASTE ZERO,2
121 Dispsoal,121 DISPSOAL,121 DISPSOAL,2
CITY OF NORTH LAS VEGAS UTILITIES DEPARTMENT,CITY OF NORTH LAS VEGAS UTILITIES DEPARTMENT,CITY OF NORTH LAS VEGAS UTILITIES DEPARTMENT,2
Robert J. Pellegrini DBA Upper/Okanogan Valley Disposal,ROBERT J. PELLEGRINI DBA UPPER/OKANOGAN VALLEY DISPOSAL,ROBERT J PELLEGRINI DBA UPPER OKANOGAN VALLEY DISPOSAL,2
SHAWNEE COUNTY,SHAWNEE COUNTY,SHAWNEE COUNTY,2
